年份,月份,游客接待量_万人,同比增速_%,人均消费_元,线上点评数_条,好评率_%
2019,1,125.3,-,750,12300,92.5
2019,2,158.6,-,780,15600,92.8
2019,3,185.2,-,820,18500,93.2
2019,4,258.3,-,880,23500,93.8
2019,5,385.6,-,950,32500,94.5
2019,6,425.8,-,1020,38500,95.1
2019,7,585.2,-,1180,48500,95.8
2019,8,625.8,-,1250,53500,96.2
2019,9,485.3,-,1080,42500,95.5
2019,10,425.6,-,980,38500,95.0
2019,11,185.3,-,820,19800,93.8
2019,12,112.5,-,760,14500,93.0
2020,1,28.5,-77.2,680,3450,91.2
2020,2,18.6,-88.3,650,2560,90.5
2020,3,35.8,-80.7,720,5230,91.8
2020,4,68.5,-73.5,780,8900,92.5
2020,5,125.3,-67.5,850,14500,93.2
2020,6,168.5,-60.4,920,17800,93.8
2020,7,225.3,-61.5,1020,21500,94.5
2020,8,245.8,-60.7,1080,23500,94.8
2020,9,185.3,-61.8,980,18500,94.2
2020,10,158.5,-62.8,880,16500,93.8
2020,11,58.5,-68.4,750,6780,92.5
2020,12,28.5,-74.7,680,3890,91.8
2021,1,42.5,49.1,720,5230,92.2
2021,2,45.3,143.5,750,6780,92.8
2021,3,78.5,119.3,820,10500,93.5
2021,4,185.3,170.5,880,21500,94.2
2021,5,325.6,159.8,950,34500,95.0
2021,6,385.2,128.7,1050,38500,95.5
2021,7,525.8,133.3,1180,48500,96.2
2021,8,568.5,131.3,1250,52500,96.5
2021,9,425.3,129.5,1080,39800,96.0
2021,10,385.6,143.3,980,35600,95.5
2021,11,152.3,160.3,820,17800,94.2
2021,12,68.5,140.4,750,8900,93.2
2022,1,25.3,-40.5,680,3450,91.8
2022,2,22.5,-50.3,700,3890,92.2
2022,3,38.5,-51.0,780,5670,92.8
2022,4,85.3,-54.0,850,10500,93.5
2022,5,152.3,-53.2,920,17800,94.2
2022,6,325.8,-15.4,1020,32500,95.2
2022,7,485.3,-7.7,1150,42500,96.0
2022,8,525.6,-7.5,1220,48500,96.2
2022,9,385.2,-9.4,1050,36500,95.5
2022,10,345.3,-10.5,950,32500,95.0
2022,11,112.5,-26.1,800,13500,93.8
2022,12,42.3,-38.2,720,5670,92.5
2023,1,58.5,131.2,780,7890,93.2
2023,2,68.5,204.4,820,8900,93.8
2023,3,112.5,192.2,880,15200,94.5
2023,4,225.3,164.2,950,26800,95.2
2023,5,398.5,161.7,1050,42500,95.8
2023,6,458.2,40.6,1120,46800,96.5
2023,7,625.3,28.8,1280,56800,97.2
2023,8,685.2,30.4,1350,62500,97.5
2023,9,528.5,37.2,1150,49800,97.0
2023,10,468.5,35.7,1050,43500,96.5
2023,11,215.3,91.4,880,23500,95.0
2023,12,98.5,132.9,820,12500,94.2
2024,1,68.5,17.1,820,8900,93.5
2024,2,78.5,14.6,850,10500,94.2
2024,3,128.5,14.2,920,17500,94.8
2024,4,248.5,10.3,980,29800,95.5
2024,5,425.3,6.7,1080,46500,96.2
2024,6,485.6,6.0,1150,51200,96.8
2024,7,658.5,5.3,1320,62500,97.5
2024,8,725.3,5.9,1380,68500,97.8
2024,9,558.5,5.7,1180,53500,97.2
2024,10,492.5,5.1,1080,47800,96.8
