年份,月份,游客接待量_万人,同比增速_%,人均消费_元,线上点评数_条,好评率_%
2019,1,8.2,-,1520,3240,94.5
2019,2,10.5,-,1580,3890,95.1
2019,3,18.7,-,1620,5210,95.8
2019,4,45.3,-,1780,8920,96.2
2019,5,82.6,-,1950,15600,96.5
2019,6,105.4,-,2100,18900,97.1
2019,7,168.3,-,2350,25600,97.8
2019,8,195.7,-,2480,31200,98.0
2019,9,142.5,-,2280,23400,97.5
2019,10,128.9,-,2050,19800,97.2
2019,11,32.4,-,1680,6780,95.8
2019,12,12.8,-,1550,4120,94.8
2020,1,2.1,-74.4,1320,890,92.1
2020,2,1.5,-85.7,1280,560,91.2
2020,3,3.8,-79.7,1350,1230,92.5
2020,4,15.2,-66.5,1520,3450,93.8
2020,5,38.5,-53.4,1680,6780,94.5
2020,6,62.3,-40.9,1820,10500,95.1
2020,7,98.6,-41.4,2050,15200,95.8
2020,8,112.3,-42.6,2150,17800,96.2
2020,9,78.9,-44.6,1980,13200,95.5
2020,10,68.4,-46.9,1780,11200,94.8
2020,11,15.6,-51.9,1480,3450,93.5
2020,12,5.2,-59.4,1380,1560,92.8
2021,1,4.8,128.6,1420,1890,93.2
2021,2,6.2,313.3,1480,2340,93.8
2021,3,12.5,228.9,1560,4560,94.5
2021,4,38.6,153.9,1720,7890,95.2
2021,5,72.3,87.8,1880,13400,95.8
2021,6,95.8,53.8,2050,16500,96.5
2021,7,148.6,50.7,2250,22400,97.2
2021,8,178.2,58.7,2380,27800,97.5
2021,9,125.3,58.8,2180,20500,97.0
2021,10,108.7,58.9,1980,17500,96.8
2021,11,28.5,82.7,1620,5670,95.2
2021,12,9.8,88.5,1480,2670,94.3
2022,1,3.2,-33.3,1380,1450,92.8
2022,2,3.8,-38.7,1420,1780,93.1
2022,3,6.5,-48.0,1480,2890,93.8
2022,4,18.2,-52.8,1580,4560,94.2
2022,5,35.6,-50.8,1720,6780,94.8
2022,6,78.5,-18.1,1950,12300,95.5
2022,7,138.2,-7.0,2180,19800,96.8
2022,8,165.3,-7.2,2320,24500,97.2
2022,9,115.8,-7.6,2100,18200,96.8
2022,10,98.2,-9.7,1920,15200,96.2
2022,11,22.3,-21.8,1550,4230,94.8
2022,12,6.5,-33.7,1420,1980,93.5
2023,1,9.5,196.9,1520,3450,94.2
2023,2,12.8,236.8,1580,4560,94.8
2023,3,25.6,293.8,1680,7890,95.5
2023,4,52.3,187.4,1820,12500,96.2
2023,5,88.6,148.9,1980,17800,96.8
2023,6,112.5,43.3,2180,21500,97.5
2023,7,178.5,29.2,2420,29800,98.2
2023,8,208.6,26.2,2580,35600,98.5
2023,9,152.3,31.5,2350,26800,98.0
2023,10,135.8,38.3,2120,22500,97.5
2023,11,38.5,72.6,1750,7890,96.2
2023,12,15.2,133.8,1580,4560,95.2
2024,1,11.2,17.9,1580,4120,94.8
2024,2,14.5,13.3,1620,5230,95.2
2024,3,28.3,10.5,1750,8560,95.8
2024,4,58.6,12.0,1880,14500,96.5
2024,5,95.2,7.4,2050,19800,97.2
2024,6,125.3,11.4,2250,23800,97.8
2024,7,192.5,7.8,2480,32500,98.5
2024,8,225.8,8.2,2620,38500,98.8
2024,9,168.5,10.6,2420,29500,98.2
2024,10,148.2,9.1,2180,24800,97.8
